station_name,city_name
亦庄,北京
南仓所,天津
济南,济南
临沂北,临沂
福州,福州
万庄,廊坊
天津,天津
塘沽,天津
汉沽,天津
七道桥,唐山
马柳,迁安
张家庄,唐山
庄头,天津
杨辛庄,天津
白庄,天津
贾庵子,唐山
丰润南,唐山
党峪,唐山
新店子,唐山
赤城,赤城
乔庄东,北京
测试,北京
张辛,北京
庙城,北京
北京朝阳,北京
前苇塘,承德
鹰手营子,承德
下台子,承德
新杖子,承德
昌平北,北京
滦河沿,承德
银镇,承德
黄家店,承德
东南营子,赤峰
安庆沟,赤峰
四道湾,敖汉旗
八达岭长城,北京
红砂坝,丰镇
苏集,集宁
马盖图,呼和浩特
宋拉,包头
兴和西,乌兰察布
乌兰哈达,察哈尔右翼
阿贵图,集宁
白银哈尔,二连浩特
朱日和,苏尼特右旗
查干特格,二连浩特
查干芒和,锡林浩特
桑根达来,锡林浩特
六地沟,锡林浩特
沙日乃,通辽
落坡岭,北京
旧庄窝,张家口
清水涧,北京
化稍营,张家口
延庆北,北京
上万,北京
良各庄,北京
大涧,大同
大营,繁峙
万水泉,包头
杜家台,临河
平吉堡,银川
大坝,青铜峡
渠口堡,青铜峡
坝梁,包头
西小沟,包头
岳家井,武威
土门子,武威
青县,青县
吴桥,吴桥
德州,德州
桥南,济南
大汶口,泰安
磁窑,磁窑
张家港,张家港
洋河,宿迁
徐州,徐州
湖屯,肥城
涡阳,涡阳
六合,南京
泰州,泰州
章丘北,济南
淄博,淄博
康家庄,潍坊
高密,高密
蔡寨,淄博
博山,淄博
山头,淄博
南仇,淄博
南博山,淄博
莱西南,莱西
桃村东,烟台
平度,平度
烟台南,烟台
睢宁,徐州
阜宁南,盐城
五莲,五莲
郯城,郯城
古城东,亳州
淮南南,淮南
广德南,广德
舒城东,舒城
良乡,北京
琉璃河,北京
完县,完县
清风店,唐县
新乐,新乐
正定,正定
石家庄,石家庄
霸州西,霸州
高邑,石家庄
薛店,郑州
长葛,长葛
许昌,许昌
广水,广水
丹水池,丹水池
南湖东,武汉
霸州北,霸州
房山,北京
和村,邯郸
涉县,涉县
常村,长治
潞城,潞城
南阳寨,鹤壁
尚庄,郑州
花山南,武汉
黄石北,黄石
九里垄,九江
沈丘,周口
杜家坎所,北京
定州东,定州
临湘,临湘
捞刀河,长沙
株洲北,韶山
中堂,东莞
望牛墩,东莞
虎门北,东莞
衡阳北,衡阳
衡阳,衡阳
马田墟,马田墟
槐树下,郴州
坳上,韶关
广州西,广州
花山镇,广州
桥口,郴州
唐洞,郴州
三都,郴州
横沥,东莞
阳东,阳江
台山,江门
深圳,深圳
云浮,深圳
丰顺,丰顺
狮山,佛山
丰城东,丰城
新干东,新干
吉安西,吉安
肃宁,肃宁
临清,临清
三堂集,阜阳
蔡山,九江
南昌,南昌
吉水,吉水
赣县,赣州
原平西,原平
太原东,太原
太原南,太原
临汾西,临汾
广平,邯郸
张家界西,张家界
桃源,常德
平旺,大同
韩家岭,大同
岱岳,山阴
长畛,朔州
北白,忻州
阳曲,阳曲
襄汾,襄汾
东镇,闻喜
牛晶坪,榆次
东田良,长治
高平,高平
晋城,晋城
白壁关,孝义
樊店,侯马
澄城,澄城
大荔北,大荔
钟家村,阎良
张桥,阎良
云梦,云梦
琚湾,枣阳
陈家湖,陈家湖
应城,应城
六里坪,丹江口
白河东,白河
安康,安康
宣汉,达州
双龙,达州
营山,营山
蓬安,南充
淮口,南充
分水寺,万州
罗田,重庆
涪陵北,涪陵
南京东,南京
龙潭,南京
下蜀,南京
渣泽,镇江
陵口,丹阳
化鱼山,芜湖
东至,池州
湖口,湖口
侯潭,黄山
峙滩,景德镇
金山北,上海
新龙华,上海
枫泾,上海
漕泾,上海
东孝,金华
后溪街,衢州
贺村,衢州
上饶,上饶
枫岭头,上饶
龙泉市,龙泉
托船埠,丰城
王华,宜春
张坊,宜春
泉江,萍乡
醴陵,醴陵
绍兴,绍兴
永昌,兰溪
南丰,南丰
珠山,樟树
宁海,宁海
福鼎,福鼎
罗源,罗源
鄱阳,鄱阳
常山,衢州
双洋,漳平
黄山北,黄山
莆田,莆田
惠安,泉州
松溪,松溪
崇礼,张家口
怀柔南,北京
兴隆县西,承德
阳高南,阳高
怀安,张家口
太仓,太仓
盐城大丰,盐城
邳州东,邳州
新沂南,新沂
凤台南,淮南
寿县,淮南
柘皋,巢湖
怀宁,安庆
蕲春南,蕲春
鄢陵,许昌
淮阳南,周口
内黄,安阳
新塘南,广州
白云机场北,广州
商丘东,商丘
定南南,赣州
龙川西,河源
武乡东,武乡
龙游南,龙游
嵊州北,绍兴
台州西,台州
长乐,福州
襄垣东,襄垣
灌云,灌云
曲阜南,济宁
永寿西,永寿
海东,乐都
沙湾市,塔城
黄水塘南,西昌
喜德西,西昌
甘洛南,西昌
金口河南,乐山
泸州,泸州
西双版纳,景洪
橄榄坝,景洪
银川东,银川
灵武北,银川
巴东,恩施
南阳东,南阳
吉首东,吉首
长沙客运段,长沙
贵阳客运段,贵阳
雁石,龙岩
金谷,泉州
南安,泉州
南靖,南靖
井口,重庆
重庆北,重庆
王家坝,长寿
土坎,武隆
武隆,武隆
中嘴,武隆
池江,大余
涟源,涟源
公坪,怀化
波洲,怀化
玉屏,玉屏
老王洞,凯里
福泉,福泉
大禾塘,邵东
牛马司,邵阳
范家山,邵阳
东安东,东安
理家坪,双牌
阳朔,阳朔
永福,永福
黎塘,黎塘
伶俐,邕宁
扶绥,扶绥
龙伯屯,凭祥
东泉,柳州
洛西,柳州
关上,河池
贵定,贵定
阮家村,曲阜
历山,曲阜
临沂北,临沂
算王庄,算王庄
长治东,长治
阜宁东,盐城
商丘北,商丘
内黄集,商丘
罗王,开封
兴隆庄,开封
韩庄镇,开封
岐山,宝鸡
杨陵南,咸阳
铁炉,郑州
义马,义马
渑池,渑池
彬州,彬县
泾川,平凉
蔡家坡,岐山
虢镇,宝鸡
黄羊头,兰州
兰州新区,兰州
清水县,天水
张家川,天水
磐安镇,天水
洛门,洛门
李家坪,兰州
铜川东,铜川
安子沟,铜川
何寨,临潼
杜赵,渭南
黄陵,黄陵
石家砭,延安
瓦窑堡,延安
子长,子长
西沟,榆林
朝脑沟,鄂尔多斯
韩家村,鄂尔多斯
沙沙圪台,鄂尔多斯
石圪台,鄂尔多斯
贡嘎,贡嘎
保德,保德
渭南西,渭南
商洛,商洛
内乡,内乡
镇平,镇平
溧河,南阳
息县,息县
兰州西,兰州
山丹马场,张掖
海东西,海东
武威南,武威
丰乐滩,酒泉
金佛寺,酒泉
东风南,酒泉
瓜州,瓜州
大泉,敦煌
山口,哈密
乌拉泉,哈密
大步,吐鲁番
乌西,乌鲁木齐
乐土驿,石河子
玛纳斯,玛纳斯
安集海,奎屯
乌鲁木齐,乌鲁木齐
头道河所,托克逊
肖塔,库尔勒
特尔希克,阿克苏
地窝铺,乌鲁木齐
北屯市,北屯市
乌兰,格尔木
饮马峡,格尔木
协荣,拉萨
沁河北,济源
莲东,莲东
汝阳,汝阳
饮马峡西,海西州
苦水沟,海西州
荆门,荆门
澧县,澧县
麻阳,麻阳
策勒,和田
通道,通道
古砦,柳城
杨家川,定西
枫相院,陇南
回龙河,成都
杨家湾,宝鸡
李家河,汉中
两当,两当
高潭子,略阳
斑竹园,广元
厚坝,广元
三合场,江油
勉县,勉县
高梁铺,安康
广元东,广元
旺苍,广元
绵竹,德阳
步行街,成都
西昌西,西昌
特克,西昌
盐边,盐边
西来,成都
大英,大英
安靖,成都
资阳北,资阳
资中北,资中
内江北,内江
金音沟所,重庆
墨池坝,成都
峰高铺,永川
永川,永川
黄磏,永川
重庆,重庆
宋家铺,重庆
孔滩,宜宾
宜宾,宜宾
朱嘎,昭通
武家岩,宜宾
石丫口,六盘水
重庆东,重庆
重庆西,九龙坡
佛坪,安康
綦江东,重庆
龙坑,播州
修文县,贵阳
镇紫街,重庆
岔滩,重庆
木竹河,遵义
盘脚营,遵义
高坝,贵阳
大关冲,贵阳
都拉营,贵阳
从江,从江
天台,贵阳
中心,贵阳
广汉北,广汉
青白江东,成都
泥溪,泥溪
长宁,长宁
威信,威信
吴场,乐山
九里,乐山
轸溪,乐山
杨漩,乐山
凉红,西昌
沙马拉达,西昌
铁口,西昌
攀枝花,攀枝花
祥云,祥云
上格达,攀枝花
向隍,昆明
红江,昆明
黄瓜园,元谋
小月旧,昆明
大德,禄丰
巍山,巍山
鹤庆,大理
白塔村,昆明
柿花树,通海
峨山,峨山
化念,峨山
元江,元江
南宁西,南宁
那何北,田东
田东北,田东
阳宗,玉溪
班猫箐,宜良
宜耐,昆明
平林村,田林
根龙,田林
瓦窑田,兴义
贵阳西,贵阳
马嘎,六盘水
龙津沟,曲靖
大理东,大理
大方南,大方
裕民,六盘水
白鸡坡,盘县
三家寨,盘县
雨格,六盘水
新海,曲靖
白水镇,曲靖
富源,富源
柏果,盘县
牛街庄,昆明
荣山村所,海口
海口东,海口
城西,海口
高花,沈阳
台安南,台安
福山镇,澄迈
银滩,儋州
百股,锦州
兰家,锦州
凌海,凌海
石山,锦州
广盛,沈阳
绕阳河,沈阳
何三家,锦州
盘锦北,盘山
北票南,北票
能家,北票
金沟,北票
大平房,朝阳
东大道,凌源
红石,凌源
魏杖子,凌源
朝阳北,朝阳
沙海,建平
元宝山,赤峰
东营子,锦西
钟杖子,锦西
鸽子洞,锦西
串子沟,锦西
郭家屯,锦西
清河门,阜新
后官山,阜新
泉眼,沈阳
红河,通辽
通辽东,通辽
潘家,通辽
哈尔滨西,哈尔滨
公主岭南,公主岭
南关岭,大连
三十里堡,大连
许家屯,大连
刘家村,大连
宝镜,辽阳
庄河,庄河
析木,海城
岫岩,岫岩
八里甸子,桓仁
新岭,本溪
桥北,本溪
北甸,本溪
天桥,凤凰城
中华寺,抚顺
瓢儿屯,抚顺
新立镇,榆树
农安,长春
松原北,前郭尔罗斯
通途,松原
安广,白城
平台,白城
大石寨,乌兰浩特
牛汾台,乌兰浩特
阿尔山,乌兰浩特
骆驼岭,四平
三林,四平
丰库,四平
黑水,洮南
前榆,大安
大安北,大安
前十家,通辽
新艾里,通辽
西哲里木,通辽
霍林郭勒,霍林郭勒
霍林河,通辽
姜家,姜家
卧里屯,卧里屯
大庆东,大庆
碾子山,碾子山
三道桥,三道桥
富林,富林
西岭口,西岭口
海拉尔,海拉尔
完工,完工
赫尔洪得,赫尔洪得
扎赉诺尔,扎赉诺尔
汇流河,汇流河
阿龙山,阿龙山
阿乌尼,海拉尔
大其拉哈,海拉尔
甘河,甘河
吉文,吉文
得耳布尔,得耳布尔
武清,武清
成都东,成都
南仓,天津
田庄,天津
杨各庄,唐山
崔黄口,天津
三百吨,天津
通州,北京
抚宁,秦皇岛
怀柔,北京
统军庄,北京
密云,北京
六道河子,承德
兴隆县,承德
北宅,北京
南大庙,承德
平坊,承德
滦平,承德
窑上,承德
金沟屯,承德
梁底下,承德
赤峰,赤峰
风水沟,赤峰
老哈河,赤峰
大同南,大同
下花园北,张家口
太子城,张家口
东园,北京
东花园,张家口
新保安,张家口
郭磊庄,张家口
新安庄,集宁
八苏木,卓资
旗下营东,卓资
白塔,呼和浩特
美岱召,土默特右旗
贾家营,北京
云岗,大同
芦家村,集宁
白音察干,察哈尔右翼
德日斯图,二连浩特
阿巴嘎旗,阿巴嘎旗
头道井,二连浩特
呼吉尔,二连浩特
乌日根塔拉,苏尼特右旗
灰腾梁,锡林浩特
锡林浩特,锡林浩特
西乌旗,西乌珠穆沁
苏吉达巴,通辽
邢家堡,张家口
涿鹿,张家口
卢龙北,秦皇岛
云居寺,北京
招柏,保定
东土城,临河
燕子墩,兰州
中卫,中卫
沙坡头,中卫
红峰岭,包头
后坝,包头
包头北,包头
桃儿湾,包头
庆阳山,武威
黑冲滩,武威
白银市,白银
多尔本毛道,阿拉善左旗
莫尔格,阿拉善左旗
辉森乌拉西,额济纳旗
泊头,泊头
王字庄,德州
东营南,东营
董家庄,济南
济南南,济南
崮山,济南
张夏,济南
泗阳,泗阳
滁州北,滁州
永宁镇,南京
南京南,南京
肥东,合肥
淮北,淮北
丁里,淮北
萧县,萧县
扬州东,扬州
扬州,扬州
董家口,青岛
岚山西,日照
枣园,章丘
东风,淄博
沧口,青岛
大港,青岛
博兴,博兴
方家庄,淄博
源迁,淄博
苗山,莱芜
孝义,莱芜
燕家庄,莱芜
马格庄,莱阳
昌邑,昌邑
即墨北,即墨
威海北,威海
淮安南,淮安
东台,东台
郎溪南,宣城
水家湖,长丰
巢湖,巢湖
淮南,淮南
毕家岗,淮南
太湖南,安庆
宿松,宿松
丰台西,北京
长辛店,北京
涿州,涿州
望都,望都
承安铺,新乐
临城,临城
亢村,新乡
西平,西平
汉阳,武汉
武昌,武汉
山坡东,武汉
咸宁南,武汉
武安,武安
新市区,邯郸
阳邑,武安
弹音,长治
桃城,长治
漫流河,长治
余官营,平顶山
华容南,鄂州
八大家,武汉
界首市,阜阳
邯郸东,邯郸
滑浚,安阳
濮阳东,濮阳
咸宁,咸宁
虎门东,东莞
田心,韶山
株洲,株洲
小水铺,郴州
栖凤渡,郴州
太平里,韶关
连江口,广州
石牌,广州
西平西,东莞
东城南,东莞
龙丰,惠州
深圳西,深圳
沙琅,沙琅
茂名东,电白
兴宁,兴宁
四会,肇庆
大旺,肇庆
云东海,佛山
三水北,佛山
万安县,吉安
博罗北,惠州
东莞南,东莞
聊城,聊城
王楼,商丘
霍邱,霍邱
黄州,黄州
横车,蕲春
高兴镇,赣州
信丰,信丰
红安,红安
王家井,深县
贡家台,衡水
八里庄,石家庄
忻州西,忻州
阳曲西,太原
石家庄北,石家庄
井陉,井陉
井南,井陉
阳泉北,阳泉
阳泉东,阳泉
榆社西,榆社
晋中,晋中
介休东,介休
侯马西,侯马
永济北,永济
堂邑,聊城
龙山北,吉首
汉寿南,常德
山阴,山阴
东榆林,朔州
神头,朔州
前寨,朔州
魏家沟,大同
五寨,五寨
岢岚,岢岚
定襄,定襄
石滩村,临汾
赵庄,长治
东元庆,泽州县
晋城北,晋城
嘉峰,嘉峰
盘古寺,济源
禹门口,侯马
芝阳,韩城
韦庄,澄城
陈庄,蒲城
马家窑,侯马
襄阳北,襄阳
花果,十堰
毛坝关,紫阳
青花,万源
覃家坝,达州
渡市,渠县
流溪场,达州
琅琊,华蓥
望溪,渠县
团结村,重庆
陶家场,重庆
长寿北,长寿
双溪,江北
兴卫村,南京
天福庵,昆山
南翔,上海
江桥镇,上海
上海,上海
绩溪县,黄山
福港,景德镇
塔前,台前
广德,广德
新槐,湖州
石湖荡,上海
笕桥,杭州
车墩,上海
金山园区,上海
金山卫,上海
南星桥,上海
安华,诸暨
浦江,浦江
樟树潭,衢州
廿里街,衢州
广丰,广丰
顺义西,北京
兴城西,葫芦岛
****,张家口
南通西,南通
宝应,扬州
大港南,镇江
莱西,莱西
磐安南,金华
仙居南,台州
